Model,Method,AUROC,ECE,PRR,Brier,ComputeTime
qwen32b,NumSemSets,0.49698795180722893,0.5030120481656627,-0.6553094516094728,0.5030120481385542,2.0047576427459717
qwen32b,SAR,0.5030120481927711,0.4969878329570035,0.8630924475398256,0.4969877600669861,2.0047576427459717
qwen32b,SentenceSAR,0.49698795180722893,0.503012047833707,-0.6553094516094728,0.5030120611190796,2.0047576427459717
qwen32b,RSS,0.49698795180722893,0.5030120481927711,-0.6553094516094728,0.5030120611190796,2.0047576427459717
qwen32b,CE,0.7355203948323413,0.4968309018314471,0.540663654969877,0.4968947289756473,2.0047576427459717
qwen32b,HEF,0.7354841050950791,0.4993512017702553,0.540663654969877,0.49798776664222594,2.0047576427459717
qwen_2.5_3B,LexicalSimilarity,0.3016402961242561,0.3602436460298986,-0.45027062901248743,0.4028847572611328,1.5338022708892822
qwen_2.5_3B,Consistency,0.3841450137901002,0.15264222786638396,-0.26866067906056734,0.3071231544017792,1.5338022708892822
qwen_2.5_3B,SemanticEntropy,0.5483016402961243,0.3220399584764908,0.02259401839883852,0.3596375994640343,1.5338022708892822
qwen_2.5_3B,DegMat,0.3841450137901002,0.15264221653342247,-0.26866067906056734,0.30712318420410156,1.5338022708892822
qwen_2.5_3B,EigValLaplacian,0.6142945275076208,0.09510453251260413,0.1626914103270459,0.2425991755543824,1.5338022708892822
qwen_2.5_3B,SemanticDensity,0.4141929162432864,0.20468730560667506,-0.20492846618710397,0.3137926581268609,1.5338022708892822
qwen_2.5_3B,Eccentricity,0.3824031064015096,0.20944235875574221,-0.2717173022824008,0.31135421991348267,1.5338022708892822
qwen_2.5_3B,NumSemSets,0.544781535781681,0.23644578360353913,-0.003963745438689165,0.32078313262499997,1.5338022708892822
qwen_2.5_3B,SAR,0.3841450137901002,0.15264222786638396,-0.26866067906056734,0.3071231544017792,1.5338022708892822
qwen_2.5_3B,SentenceSAR,0.5381405138626796,0.1657697928463479,0.01804918643110015,0.2875840663909912,1.5338022708892822
qwen_2.5_3B,RSS,0.5307192625925389,0.3370513824566481,0.08267794813351484,0.36480090022087097,1.5338022708892822
qwen_2.5_3B,CE,0.5019596458121643,0.47881931971548725,-0.08720470016856403,0.4746167902191109,1.5338022708892822
qwen_2.5_3B,HEF,0.5567934388155029,0.363739944548171,0.11807014371343559,0.37460274584823544,1.5338022708892822
